size,current,naive,protty,multi,streaming,swar
64,8.765312442292654,29.35247287507418,69.67797979614922,69.60098418500385,67.26258959112008,25.218628656077243
65,42.61611612827619,27.117424129896918,31.71750406628463,32.89287242851617,30.366630239598862,22.05526226740606
66,34.893141297787345,27.020774514319072,20.235149760507497,16.505785744904852,15.200935382487303,14.31424773538318
67,24.020487024998136,27.275032378491364,38.433120893668935,34.62734016679183,31.56487730241241,19.880302736378272
68,31.274120354661715,27.86569756071126,37.76229488517524,37.24452558765195,33.848372862805206,20.218113793339413
69,11.095372677571701,26.953030214978295,38.41432599481946,35.57898599316557,29.003117464894224,17.906058198194867
70,25.429476815624394,20.76037629630166,39.02382037637088,25.880020887271844,29.03402871987622,16.21577867034376
71,22.77154045326449,21.77781346025414,39.886955459530974,35.839906786414005,32.76595789628604,13.78399538687546
72,21.21705634914271,20.116451598463247,40.263800902081556,35.1204088878171,31.83453098271217,22.882007234453514
73,17.22922582009876,19.089759443689726,38.94955655209726,34.64040901234756,33.76337195597894,19.518550360622125
74,11.942527930024252,18.961264446747677,38.401898128218676,36.84198971163638,33.92054209481204,19.631918890820938
75,7.469701638214442,14.967779853167944,22.986774014256653,21.468247540879187,18.321402851685797,11.151339335174294
76,10.256892894023276,8.823438960391094,22.779195823938686,21.563292404247658,35.54029031923699,19.652771983693263
77,11.037400685699287,17.55483328503637,46.30363817377363,42.03645522725732,33.89936944256815,18.28938584174844
78,6.14346835370016,15.788615146287317,44.10620428574767,39.534088815831105,24.64049514216125,17.167646830538125
79,16.936798277099783,14.95414219928413,43.69234991625068,39.18337197549556,35.35882999514724,15.978093372569878
80,15.82378247007413,14.097876584781366,44.769709946609,40.60519480702357,38.02515606953185,23.085082415586495
81,10.35631971895334,13.407388351178504,44.01747957336815,41.09250719386236,37.66694682869942,20.999873409327922
82,14.037620322601711,13.204292425655968,46.729255501269,41.46208714382557,37.95249610160682,19.949231832635807
83,13.93707229511893,12.802989576675797,47.49581589273143,41.039808211374904,39.27931558015558,18.8632975768164
84,17.092132557736033,13.019426176273148,44.18424871781963,41.80618645325986,37.22289350106664,13.485118142557742
85,9.515301716529832,12.195707192335648,48.33571287828528,41.31080773420762,40.295057479786685,18.301300455387537
86,14.316413772582205,12.156491103822251,41.79622831801968,42.16083302261545,40.84282916560232,17.920142895196296
87,15.476714663925689,13.158689918748376,53.15185318511485,47.576079647021295,42.59822617965179,17.819221054137564
88,14.95987347344736,12.794727551457326,48.550191412835076,46.73530093210771,44.56388243884911,23.227514413110164
89,13.97124867427718,12.70919282470498,53.68768099420961,48.15888291362405,44.88757701965169,21.678852735398273
90,14.43310115521851,12.250538024866321,53.904526246885574,48.983470884075736,45.51610779381996,20.932995844802598
91,13.479301648169573,12.122597989322015,54.6842695705933,49.164162113529834,45.93354845508298,19.959505329577
92,13.585375690894056,11.94497301133038,54.99352126392184,49.94790907283451,45.56727911140468,19.247351546685383
93,13.405557744862817,11.657977754260497,54.503772285698105,49.51146631297462,43.143929472958455,11.725178536013434
94,14.30668563625411,6.080789778592647,28.2392414244695,44.831892701262454,46.67924755621714,17.60261935032096
95,12.714432326700837,11.312388369130918,55.06729637048107,51.70670717527928,48.08207040744543,17.43347045325739
96,13.102514858323387,32.97380413391169,52.75727398198557,52.22338800717179,48.49998861190312,22.66116681242337
97,7.568665478504087,31.31045012830553,58.03345577704973,52.70494029825997,47.75881505099502,20.210462061488798
98,56.50846101816702,30.62222116268024,54.335801828528886,50.53661174588845,40.74517680267676,19.748999986582003
99,10.508676031925878,30.725900769579614,53.52989369206589,48.60459079615827,46.493155082666426,17.627127976540862
101,9.677718421317152,30.054275025701198,55.1193172548935,51.250148079610696,43.36571797539086,18.177681191791333
103,11.919524674598176,29.146552626797092,57.95940247843941,51.13669971637051,47.213548490409416,16.915522077208507
105,30.948733244917975,26.533565482214286,56.32452607798841,53.52741426104469,49.52403160024269,19.6376612243174
107,21.81604893120277,20.60089639660317,58.79229409305518,54.99754515580025,49.33384362547559,19.042505852045092
109,24.7517663866969,18.909711752796394,58.97665481794601,54.87835495064084,51.245802405102616,17.936809330705202
111,23.531100763937687,20.044572297721786,61.764625097066684,54.34235590994455,51.89477934451818,16.912011033314545
113,23.349079893655894,17.250666930428512,65.40639308391115,53.538128984100645,52.04307332064156,20.089651842246614
115,20.713218836435168,16.74595533013572,64.88189179736892,58.20152645281725,40.12873084801561,18.931076380291707
117,16.885483216833265,16.601354774548252,65.43723824228249,42.787556656719914,56.64858714904982,18.736798654743417
119,19.3309885929384,16.648735886395222,69.59538992509148,65.24310382001656,59.48835848697517,18.33577643503439
121,19.132244086509232,15.751086777911603,72.50421977497835,65.29798858630619,60.26818690165353,21.051307188179198
123,18.3840823893819,15.260706538592459,68.50171588657444,63.72584225249877,58.051696790420415,16.85224453429415
125,8.364230144049804,7.130307692420457,37.747592747369445,55.9129363505752,40.2610819955157,17.10188748570446
127,15.241633563753537,14.08422900385594,70.5089390252899,66.28853770380886,62.58833579483415,18.229597195021565
129,96.70009032355965,34.22423013906738,69.34628256447273,67.60886432036034,63.84839775650793,30.73301015873362
131,72.98864177378766,34.491182845966875,69.5859916353015,63.90153531019934,64.15749540222411,26.846166113704804
133,51.808769782980676,32.71181719045377,56.18906418044027,68.84691051475504,57.858402647809925,25.348224486939706
135,45.24852469173235,29.91226498341656,67.10722877081656,68.61641496869389,64.85419029938957,15.229245295685274
137,7.160253306882774,31.158199588308243,69.19046885114516,68.48900312650939,64.9499100272179,26.4042989470991
139,20.09113328468951,29.048924893864143,69.06311279317883,70.45179842559322,64.4187289796819,22.805019165556217
141,32.061654465608214,25.191814806265935,65.8981850927292,42.98471368211329,60.63160104910336,23.75561011350052
143,29.112527569716892,22.34705005145099,69.29221978554982,74.70186681971082,66.70102909347392,22.429828027107686
145,25.042047303498784,18.729667374327185,72.13695417919688,71.21175203564492,61.13550827666514,27.226902794829517
147,25.05571094393237,20.325692104336866,72.80198475462994,74.3379956633947,66.29688073116702,25.258797583660947
149,23.80116576619278,19.45132149137024,75.96359015086848,75.50647049168286,68.68584400708728,21.954006483997595
151,23.22359036400632,17.750839380789802,77.14513919669287,79.1122450494569,69.83131985999775,22.615011776237772
153,21.41649027854017,18.477684716809023,79.04688865597033,78.21445651218136,71.16205838236499,25.519237852021334
155,19.336400077207937,16.517591199070623,76.52660254092234,78.88448009601214,73.1898656106889,22.937438650275467
157,20.865919839061625,15.146948922678316,80.43924485068936,79.9068291057379,72.8801060541216,23.77712472349282
159,19.48401746568119,16.54286234404745,76.5746724794559,78.101119287901,75.20818026175289,21.36584845746811
161,12.973883276443797,32.89962118981183,80.37481294203099,82.75095556523617,76.49677647378675,26.3102468050424
163,84.47667988508887,32.328252031836875,82.22821248216002,80.31696432538249,79.35896921584272,24.379848785633076
165,43.4961521935879,32.82254261152908,67.8060884835644,72.83456269757639,71.62364837639578,23.4240090113671
167,17.865382543543202,31.939462608077733,84.98143659231798,84.85864039675536,71.82263055140847,20.20054899216084
169,49.87945795259562,31.7399041261849,80.70597793910025,86.15209418280394,75.96761172480255,24.6587673715474
171,14.023716036820423,31.9263031584849,82.81738091743033,83.88611139597151,81.61439347181333,23.849818359553733
173,35.66786375683107,29.385141719712205,83.75470614416601,87.85608552081224,81.70084221335472,23.40216557507232
175,36.20761377277535,25.57179301848965,86.35874707228652,88.95002673997568,79.10998507651605,21.81248806991239
177,33.03893795731664,20.677686569159604,90.83508835874277,89.63735249364593,83.90182510182251,24.255483776780174
179,7.946344027557754,23.970721032833325,86.85583772340811,89.18828465879673,83.76682323529567,21.83229087725619
181,29.861716256177477,22.49906585946809,89.73992328011006,93.0147843951706,84.49061910144161,21.5886871993292
183,27.98321831202023,21.318659638182247,91.23608275773928,90.21351176817713,81.85868054212578,21.64469401270478
185,14.411272804313949,21.050620025404132,93.39125918296382,93.07508236673964,80.62220642709715,24.84473826967672
187,26.633461614385347,19.73455305514334,95.94003656619385,92.06938842817503,86.89232008383479,22.0572956881548
189,24.465797996470442,19.811704389625955,90.59564111519283,96.99339943391176,90.57808475124729,20.79577237252609
191,23.868517156900133,18.001903395659294,95.95879847947434,93.32327338118768,89.82120971190912,21.469212055008377
193,23.659583961952283,34.73634488167871,87.76282759892561,94.2341117189964,86.05739375502725,30.157053067886913
195,87.24664373783455,32.353624729426954,91.18797129825724,100.36692636340788,90.88641047779032,28.8753444327578
197,81.36338017517639,34.33925107616337,93.6321932027305,101.486179475306,90.35061218305692,28.68102651595934
199,68.63716301840178,35.59321922880281,96.40482494851426,92.56214677035523,73.93182334967445,18.148610361200326
202,22.84456043847954,20.624186123576518,45.66453503192623,101.98172497216633,97.56100293126542,31.073893006053087
205,8.85944329283894,33.773982183611864,99.33463316098417,98.45161739461791,94.44299750059488,27.523580144181377
208,15.49635558984499,21.702074907236277,92.80419159556767,104.35236670567362,87.99886095266103,31.72854971290041
211,26.460495145370977,25.882185588282194,97.72139983449384,104.35456155616112,88.09431431356325,28.124552733447626
214,34.17334503426872,23.609666818063516,97.98995136381835,103.95237879934506,95.23615707865365,25.72080100207788
217,31.67983889770866,24.188436960331824,98.73830064288533,83.59503061047545,46.332630938784526,29.623996670116988
220,16.08398494149285,22.839931607611874,100.28019211782744,109.92104289102029,99.8496153122984,28.258382522104657
223,28.25873330551285,20.718167471001248,102.29979322384604,108.70734131116518,98.81977571277291,26.02203762963364
226,19.61373200241847,31.950551271919828,97.62097712355477,110.17796728686922,96.60539083264938,28.080080294148985
229,16.030112516048543,35.18490895417682,101.05226868726771,112.21145880375519,102.42589689214394,23.953326819025797
232,20.256549614531515,35.15912349344655,107.0584576432238,110.3497448529684,94.88859017400624,29.61347976714036
235,58.546918058051354,34.11841156940818,105.5658444950577,103.36160810495396,104.18279106789723,27.086078412474862
238,9.879363930355913,33.03278273640918,105.36033900696658,112.77106643875545,101.9088100617973,25.594392585057893
241,17.59075498848383,29.804572197629625,106.75575572756429,118.20598926623143,111.80867630369225,26.511831210672206
244,57.86393053773907,27.801288428311484,102.77422236663341,121.94078421847911,112.23898783505538,26.063856305383656
247,10.611605664530456,26.93455462729261,114.85160541443348,122.34105853780015,112.0775635664635,25.097418442821052
250,10.180025109213718,25.872959725099804,111.74735167847808,121.9227237345978,94.1726460191403,20.288639116517555
253,21.232107857933396,20.13675278921795,118.65939313494214,134.05635555457553,121.79198060801939,26.56792965044567
256,20.30554498349144,39.259431369196015,125.25386033295581,134.70388657244783,122.31924569432977,33.09167797519488
259,35.06997651759415,37.56110104248958,124.20045403075775,117.79577897551863,110.68216964399569,29.965814536977994
262,29.026182825226694,35.58245891268529,116.19250944468025,120.44240602379256,110.79346067605039,27.08547470440468
265,71.15613886360217,35.28902885153213,105.53208943348488,121.48700132983619,102.83954345658138,31.089228583621903
268,11.473492144548667,35.24167124212216,94.85567117139772,108.88170147370646,110.86847308364818,27.976046547682845
271,6.288512808930541,33.693732183462764,119.38535354629289,123.57423583900373,106.1849510710266,27.479923131593306
274,17.44778829476118,31.35989197610696,121.97423557501266,117.76000932684583,114.83753094560679,30.023916319633315
277,23.759996080958132,29.44925872719178,123.18885231588071,110.16488270859718,116.60527510298697,29.21564478853957
280,11.842716866905592,29.966761807469613,118.4047582517325,137.57672586813533,125.51319969028813,33.421802066569384
283,23.46658491811528,27.903152001919718,134.86367065573265,136.3424298427849,126.22929511470805,31.76318831103836
286,12.57995615016332,21.86959890227852,127.22303368223139,127.02611461514829,119.4066885666597,27.540939188059856
289,92.22726923327085,37.11118806279828,126.6852610397742,131.40633591279126,107.39471656709404,30.563294813752293
292,8.855350680274123,37.12241802798779,126.93806016763801,125.98628645415192,117.67695308685778,29.025257638530242
295,25.141308095640078,36.35214941349547,130.90367414556198,131.68887931905502,70.76741519895867,27.605866692178576
298,68.11743670590965,35.15228007019754,126.18797941708053,136.31961916528374,126.1164058368665,30.533042746855195
302,22.126316385713498,35.01900295695919,119.50192817505467,137.74184518740327,126.6897774035853,27.441207332196043
306,53.46916720975789,32.10964729692514,133.77355549601373,140.05976316132248,130.64098909697344,28.97763533494256
310,38.35922881866363,31.836003840264762,133.2423216149795,137.4238898056138,129.84309790562867,27.091588171174084
314,35.60366977556421,30.467260911117247,138.50940617106446,142.74489565167931,129.46459579872965,27.43813586634778
318,39.629920783697166,26.026151188207063,117.76021748034093,148.39681480632282,123.50745940275885,27.188049741059334
322,10.121034271429105,38.11023883696781,124.4043425636453,118.80973740150401,125.73350006367828,30.09908943608937
326,104.41514390742165,36.62521985689159,128.6599224508016,127.57813006755559,129.0567745072722,28.697991048641445
330,80.95337378716187,35.39337831773281,136.91038600066136,135.01479571097795,122.21441750466917,31.220165679858354
334,25.58586685800501,35.88397271377699,137.1818877852121,136.30062057912184,130.40314703215728,28.313472181415346
338,55.61121936360428,33.72328949917466,128.88090167017387,137.47765480708324,134.1578285141517,25.046621896878296
342,37.86539862887031,32.91047976344959,135.8036349067075,140.67045028603786,125.94330859979715,28.915978569177433
346,6.900809197978578,31.53907010643092,137.353490726365,127.30853346536475,135.51521490009875,31.38517754356696
350,60.260545854486594,28.050856928483242,143.00910193151068,138.2005314860484,135.76480754775054,29.174393475066893
354,161.832127310275,36.192960530170325,138.49229180409094,148.10889244820743,136.03716435611054,30.810068629046857
